"title","subtitle","place","period","publisher","periodicity","language"
"O Absoluto","jornal politico, litterario e noticioso","Rio de Janeiro, RJ","1864-1865","[s.n.]","Desconhecida","por"
"O Academico","jornal juridico, litterario e noticioso","São Paulo, SP","1868","","","por"
"O Academico","orgam dos estudantes da Faculdade de Sciencias Juridicas e Sociaes de Manaus","Manaus, AM","1926-1928","Typ. Augusto Reis","Mensal",""
"O Academico","periodico dedicado a medicina e a litteratura","Bahia [Salvador, BA]","1872","Typ. do Horisonte","Quinzenal","por"
"O Academico","periodico scientifico e litterario","Bahia [Salvador, BA]","1853","Typ. de Epiphanio Pedroza","Mensal","por"
"O Acoute","","Rio de Janeiro, RJ","1881","Typ. do Diário","Desconhecida","por"
"O Açoute dos Despotas","","Salvador, BA","1832","Typ. da Viuva Serva & Filhos","Desconhecida","por"
"O Adamastor","","Rio de Janeiro, RJ","1898","Imprensa Moderna","Número único",""
"O Adejo Litterario","jornal de instrucao e recreio","Pará, PA","1855-1858","Typ. Commercial de A.J.R. Guimaraes","Semanal","por"
"O Agrario","orgao da sociedade agricola Paraense","Belém, PA","1885-1886","[s.n.]","Quinzenal","por"
"O Agricultor","","Juiz de Fora, MG","1897","Typ. Mattoso","Quinzenal","por"
"O Agricultor","Semanario independente e noticioso","Rio do Sul, SC","1928 a 1936","","Indeterminada","por"
"O Agricultor Bahiano","","Bahia [Salvador, BA]","1866","Typ. de Camillo de Lellis Masson & C","","por"
"O Agronomo","","Muaná, PA","1899-1901","Typ. d'O Agronomo","Semanal","por"
"O Aguas Virtuosas","","Lambari, MG","1953","","Desconhecida",""
"O Alabama","periodico critico e chistoso","Bahia [Salvador, BA]","1866-1882","Typ. de Marques Aristedes e Igrapiuna","Diária","por"
"O Alabama","periodico critico e noticioso","Rio de Janeiro, RJ","1883","","Duas vezes por semana",""
"O Alagoas","orgao conservador","Maceió, AL","1887","Typ. T. de Menezes","3 vezes por semana","por"
"O Alagoinhense","periodico noticioso, commercial e recreativo","Alagoinhas, BA","1884-","[s.n.]","2 vezes por semana","por"
"O Albacora","","Recife, PE","1889","","Número único",""
"O Album","","Rio de Janeiro, RJ","1893-1895","Imprensa H. Lombaerts","","por"
"O Album","semanario litterario e humoristico","Franca, SP","1897","Typ. do Perdao, Amor e Caridade","Semanal","por"
"O Album dos Academicos Olindenses","jornal scientifico litterario e religioso","Pernambuco","1850","Typ. Imparcial da Viuva Roma & Filhos","Mensal","por"
"O Alcacar","revista semanal litteraria chistosa e illustrada","Salvador, BA","1871","Lith-Typ. de J.G. Tourinho","Semanal","por"
"O Alem Parahyba","orgam imparcial","Além Paraíba, MG","1890","[s.n.]","Semanal","por"
"O Alem-Parahyba","","Além Paraíba, MG","1881-1886","Typ. do Alem Parayba","Semanal","por"
"O Alfenense","","Alfenas, MG","1978-1980","[s.n.]","Desconhecida","por"
"O Alfinete","folha litteraria, humoristica, noticiosa","São Carlos do Pinhal [São Carlos, SP]","1897","Typ. Aldina","Quinzenal","por"
"O Alfinete","orgam litterario, critico e recreativo dedicado aos homens de cor","São Paulo, SP","1918-1921","Typ. de Obras","Quinzenal [1ª fase]",""
"O Alfinete","orgao imparcial","Recife, PE","1890","Typ. Industrial","Semanal","por"
"O Alfinete","periodico critico e recreativo do Jovem Congresso","Rio de Janeiro, RJ","1895","[s.n.]","Desconhecida","por"
"O Alfinete","semanario independente, critico, noticioso e litterario","Santa Maria Madalena, RJ","1916","","Semanal",""
"O Alfinetinho","","Rio de Janeiro, RJ","1896","[s.n.]","Desconhecida","por"
"O Almotace","periodico local, critico-despertante","Cachoeira, BA","1850-1851","Typ. Constitucional","Irregular","por"
"O Alpha","","Rio de Janeiro, RJ","1895","Typ. Moraes","Mensal","por"
"O Altense","orgao da lavoura","São Sebastião do Alto, RJ","1880-","Typ. do Altense","Semanal","por"
"O Alto Purus : orgam official","","Sena Madureira, AC","","Prefeitura do Alto Purus, 1908-","","por"
"O Alto Rio Doce","","Alto Rio Doce, MG","1938-1943","[s.n.]","","por"
"O Alto Rio Doce","","Alto Rio Doce, MG","1894","Typ. do Alto Rio Doce","Semanal","por"
"O Alviçareiro","periodico critico, commercial, noticioso e moral","Natal, RN","1880","[s.n.]","2 vezes por mês","por"
"O Alvinopolis : orgao official da camara municipal","","Alvinópolis, MG","1916-1938","[s.n.]","","por"
"O Americano : semanario politico e de litteratura","","Recife, PE","1871","Typ. do Commercio","","por"
"O Americano","","Rio de Janeiro, RJ","1847-1851","Typ. Brasiliense de Francisco Manuel Ferreira","","por"
"O Americano","","Cachoeira, BA","1872-1886","","Irregular","por"
"O Americano","","São João del Rei, MG","1840","Typ. de Pimentel","Semanal","por"
"O Americano","jornal politico, litterario e noticioso","São Bento do Sapucaí, SP","1876-","Typ. do Americano","Desconhecida","por"
"O Americano","orgao litterario, noticioso e agricola","Carangola, MG","1884-","Typ. d'O Americano","Semanal","por"
"O Americano","orgao republicano","Manaus, AM","1889","[s.n.]","2 vezes por semana","por"
"O Americano","periodico official, politico e litterario","Alegrete, RS","1842-1843","Typ. Republicana Rio Grandense","Bissemanal","por"
"O Americano","periodico politico, litterario, critico, noticioso","Recife, PE","1866-1867","Typ. Liberal Constitucional","Semanal","por"
"O Amigão","curso elementar menino jesus","Santa Catarina","1972 - 2004","","Mensal","por"
"O Amigo da Moral","","Villa de Itaborahy [Itaboraí, RJ]","","Typ. de J. Hilario de Menezes Drumond","Semanal",""
"O Amigo da Verdade","","São João del Rei, MG","1829","","Desconhecida",""
"O Amigo do Homem","","São Luis, MA","1824-1827","Typ. Nacional","2 vezes por semana","por"
"O Amigo do Povo","","Pernambuco","1829","Typ. do Cruzeiro","Semanal","por"
"O Amigo do Povo","jornal politico, commercial e noticioso","Rio de Janeiro, RJ","1873-","[s.n.]","","por"
"O Amigo do Povo","orgão do Centro Federal Turvense","Turvo [Dores do Turvo, MG]","1890","Typ. do Amigo do Povo","Semanal",""
"O Amigo do Povo","periodico politico","Teresina, PI","1869","Typ. da Imprensa","Quinzenal","por"
"O Amigo do Povo","semanario conservador","","1881-1882","[s.n.]","Semanal","por"
"O Amigo do Rei e da Naçao","","Rio de Janeiro, RJ","1821","Typ. Real","Desconhecida","por"
"O Amigo dos Homens","","Pernambuco","1844-1848","Typ. dos Santos e Companhia","Semanal","por"
"O Amolador","","Rio Grande, RS","1874-1875","Typ. do Amolador","Desconhecida","por"
"O Amor","","Cataguases, MG","1897","[s.n.]","Quinzenal","por"
"O Amor","","Rio de Janeiro, RJ","1905","[s.n.]","Desconhecida","por"
"O Amor Perfeito : jornal critico jecoso e instructivo","","Rio de Janeiro, RJ","1849","Typ. Classica de F.A. de Almeida","Semanal","por"
"O Amor-Perfeito","jornal critico jecoso e instructivo","Rio de Janeiro, RJ","1849-","Typ. Classica de F.A. de Almeida","Semanal","por"
"O Amparense","","Amparo, SP","1896","[s.n.]","Bissemanal","por"
"O Analista","","Rio de Janeiro, RJ","1828-1829","[s.n.]","","por"
"O Analista","","Porto Alegre, RS","1840","[s.n.]","",""
"O Analytico","","Oeiras, PI","1848","Typ. Provincial","Semanal","por"
"O Anão","periodico noticioso, social, critico e litterario","","1863","Typ. Pernambucana","Semanal","por"
"O Anarchista Fluminense","","Niterói, RJ","1835-","Typ. de P. Gueffier e C.","Semanal","por"
"O Angrense","folha politica, commercial e litteraria","Angra dos Reis, RJ","1863-","Typ. do Angrense","Duas vezes por semana",""
"O Anhanguera","","São Paulo, SP","1869","Typ. Americana","Desconhecida","por"
"O Anhembi","jornal dedicado aos interesses do municipio","Tietê, SP","1879","Typ. do Anhembi","Semanal","por"
"O Anjo do Lar","","Belém, PA","1898-1899","[s.n.]","Mensal","por"
"O Annel","","São Paulo, SP","1897","Typ. do Boi","Quinzenal","por"
"O Annunciador","","Rio de Janeiro, RJ","1850-1851","","Diária","por"
"O Annunciador Commercial","orgão de todos em toda parte","Manaus, AM","1899","","Indeterminada",""
"O Annunciante","","Porto Alegre, RS","1835","[s.n.]","","por"
"O Annuncio : folha diaria","","Rio de Janeiro, RJ","1874","Typ. Guttenberg","Diária","por"
"O Annuncio","folha diaria","Rio de Janeiro, RJ","1874-","Typ. Guttenberg","","por"
"O Anonimo","","Rio de Janeiro, RJ","1840","Typ. do Diário","Semanal","por"
"O Antonio Maria","habilitado","Lisboa [Portugal]","1891","","Desconhecida","por"
"O Apipucos","orgão dos interesses deste bello Arrabalde","Apipucos, PE","1900","","Desconhecida",""
"O Apologista Christao Brazileiro","orgao da Igreja Methodista Episcopal no Brazil","Belém, PA","1890","Typ. do Apologista Christao","Mensal","por"
"O Apostolo : periodico religioso, moral e doutrinario, consagrado aos interesses da religiao e da sociedade","","Rio de Janeiro, RJ","1866-1901","Typ. Nicolau Lobo Vianna e Filhos","","por"
"O Apostolo","","Theresina [Teresina, PI]","","","","por"
"O Apostolo","orgao da Sociedade Beneficiente e Instructiva Americo Santa Rosa","Belém, PA","1900","Typo-Lyth. Caccavoni","Desconhecida","por"
"O Apostolo","periodico religioso, moral e doutrinario, consagrado aos interesses","Rio de Janeiro, RJ","1866-[1893]","Typ. Nicolau Lobo Vianna e Filhos","Semanal","por"
"O Apreciavel","orgao sustentador das instituicoes constitucionais","São Luis, MA","1866-1878","Typ. Independente","","por"
"O Aprendiz","periodico litterario e recreativo","Desterro [Florianópolis, SC]","1881","[s.n.]","Desconhecida","por"
"O Arado","","São Paulo, SP","1882","Typ. Commercial, de Antonio Elias da Silva","Semanal",""
"O Arara","","Pernambuco","1845-1846","Typ. Imparcial de L. I. R. Roma","Irregular","por"
"O Araripe : jornal politico e noticioso","","Crato, CE","1855-1864","Typ. de Monte & Comp.","","por"
"O Arassuahy","orgao do Governo Municipal","","1897","Typ. d'O Arassuahy","Desconhecida","por"
"O Arauto","","Rio de Janeiro, RJ","1879","Typ. do Cruzeiro","","por"
"O Arauto","Gremio do Commercio de S. Paulo","São Paulo, SP","1896","Typ. da Comp. Industrial de Sao Paulo","Número único","por"
"O Arauto","orgao hebdomadario","Cataguazes [Cataguases, MG]","[1902?]","Typ. Baptista","Semanal",""
"O Arauto de Minas : hebdomadario politico, instructivo e noticioso; orgao do Partido Conservador","","São João del Rei, MG","1877-1889","Typ. do Arauto de Minas","Semanal","por"
"O Araxaense","","Araxá, MG","1891-","[s.n.]","Semanal","por"
"O Arbusto : jornal critico, litterario e noticioso","","Teresina, PI","1878","[s.n.]","Quinzenal","por"
"O Archivo : jornal scientifico e litterario","","[S.l.]","1846","Typ. Maranhense","Mensal","por"
"O Archote","jornal manuscrito no Colégio Abílio, artigo ""Ao 5 Ano por Fabricius""","Rio de Janeiro, RJ","1874","[s.n.]","","por"
"O Arco da Velha","","Bahia [Salvador, BA]","1877","[s.n.]","","por"
"O Arcos","","Minas Gerais","1977-1979","[s.n.]","Desconhecida","por"
"O Argonauta : periodico litterario, critico e chistoso","","Teresina, PI","1877","[s.n.]","Desconhecida","por"
"O Argonauta","pro serro","Serro, MG","1921","","Desconhecida",""
"O Argos : da provincia de Santa Catarina","","Desterro [Florianópolis, SC]","1856-1862","Typ. de Jose Joaquim Lopes","2 vezes por semana","por"
"O Argos : da provincia de Santa Catarina","","Desterro [Florianópolis, SC]","1856-1862","Typ. de Jose Joaquim Lopes","2 vezes por semana","por"
"O Argos Alagoano","","Maceió, AL","1852","Typ. Liberal do Tempo","Irregular","por"
"O Argos Cachoeirano","periodico politico,litterario e moral","Cachoeira, BA","1850-","Typ. Constitucional","Semanal","por"
"O Argos da Lei","","São Luis, MA","1825","Typ. Nacional","2 vezes por semana","por"
"O Argos Maranhense : periodico liberal","","[S.l.]","1851-1852","Typ. Maranhense","Semanal","por"
"O Argos Natalense","periodico politico e social do Rio Grande do Norte","Natal, RN","1851-1852","Typ. Nacional","Desconhecida","por"
"O Argos Olindense","periodico moral,politico,e literario","Pernambuco","1838","Typ. Fidedigna de J.N. de Mello","2 vezes por semana","por"
"O Argos Pernambucano","","Recife, PE","1850-1852","Typ. Nacional","","por"
"O Argos Sant'Amarense","","Santo Amaro, BA","1850-","Typ. dos Argos Santamarense","Desconhecida","por"
"O Aristarcho","","Rio de Janeiro, RJ","1840","Typ. do Diario, de N.L. Vianna","Indeterminada","por"
"O Arlequim","","Rio de Janeiro, RJ","1867","Typ. do Arlequim","Semanal","por"
"O Arquidiocesano","orgão oficial da Arquidiocese de Mariana","Mariana, MG","1972","","Desconhecida",""
"O Arre e Irra","","São Luis, MA","1846","Typ. Independente","2 vezes por semana","por"
"O Arrebol","","Nazaré, BA","1880-","Typ. da Opiniao Liberal","Desconhecida","por"
"O Arrebol","orgam de litteratura infantil","Teresina, PI","1914","[s.n.]","Quinzenal","por"
"O Arrebol","periodico litterario e satyrico","Recife, PE","1884","Typ. Industrial","Trimensal","por"
"O Artilheiro","","Recife, PE","1842-1843","Typ. de M.F. de Faria","Irregular","por"
"O Artilheiro","","Porto Alegre, RS","1837-1838","Typ. de Claudio Dubreuil e C.","Semanal","por"
"O Artista : publicaçao semanal sobre theatros","","Rio de Janeiro, RJ","1849","Typ. Philantropica","Semanal","por"
"O Artista","","Rio de Janeiro, RJ","1866","Typ. do Artista","Semanal","por"
"O Artista","","Manaus, AM","1886-1887","","Indeterminada",""
"O Artista","jornal dedicado a industria e principalmente as artes","São Luis, MA","1868-","Typ. de Jose Mathias","","por"
"O Artista","jornal litterario, noticioso e recreativo","São João da Barra, RJ","1883","Typ. do S. João da Barra","Semanal",""
"O Artista","orgam representativo do Artistico Foot-ball Club : sport, litteratura, humorismo, noticia","Teresina, PI","1918","[s.n.]","Mensal","por"
"O Artista","orgao da classe operaria","Cametá, PA","1891","Typ. do Nacional","Semanal","por"
"O Artista","orgão da sociedade dramatica particular Furtado Coelho","Rio de Janeiro, RJ","1903","","Desconhecida",""
"O Artista","orgao democratico, noticioso e critico","Santo Amaro, BA","1877-1878","[s.n.]","Desconhecida","por"
"O Artista","orgao industrioso e artistico da Provincia de Santa Catharina","Desterro [Florianópolis, SC]","1878-","Typ. de Alex Margarida","Semanal","por"
"O Artista","periodico dedicado a industria e principalmente as artes","Rio de Janeiro, RJ","1870-1871","Typ. de Aranha e Guimaraes","","por"
"O Artista","publicacao semanal sobre theatros","Rio de Janeiro, RJ","1849-","Typ. Philantropica","Semanal","por"
"O Artista Brasileiro","","Rio de Janeiro, RJ","1849","Typ. Carioca de J.I. da Silva","","por"
"O Aspirante","periodico litterario e artistico dos alunnos do Lyceo de Artes e Oficios","Rio de Janeiro, RJ","1881-","Typ. Cosmopolita","","por"
"O Assombro","orgão ... das Improvisadas","Caxias do Sul, RS","1937","","","por"
"O Assuense","periodico politico moral e noticioso","Assu, RN","1867-1872","Typ. Liberal Assuense","Semanal","por"
"O Asteroide","orgam da propaganda abolicionista","Cachoeira, BA","1877-1889","Typ. do Asteroide","","por"
"O Astro","orgam de litteratura, industria, noticias, commercio e lavoura, dedicado especialmente aos interesses do professorado mineiro","Sant'Anna do Jacaré [Santana do Jacaré, MG]","1897","","Desconhecida",""
"O Atalaia","","São Luiz do Paraitinga, SP","1887-1889","Typ. d'Atalaia","","por"
"O Atalaia","litterario, critico e noticioso","Natal, RN","1876","Typ. Independente","Bimensal","por"
"O Atheneo","periodico scientifico e litterario","Bahia [Salvador, BA]","1849-","Typ. Liberal do Seculo","Mensal","por"
"O Atheneu","","Rio de Janeiro, RJ","1850","","","por"
"O Atheneu Pernambucano","periodico scientifico e litterario","Recife, PE","1856-1863","Typ. Universal","Mensal","por"
"O Atheniense","","Bahia [Salvador, BA]","1888","[s.n.]","Número único","por"
"O Atheo : jornal critico-theatral","","Rio de Janeiro, RJ","1851","Typ. Brasiliense de F.M. Ferreira","Desconhecida","por"
"O Athleta","","Rio de Janeiro, RJ","1856-1857","Typ. do Theatro de S. Pedro d'Alcantara de M.G. de S. Rego","Semanal","por"
"O Athleta","","Pernambuco","1843","Typ. Imparcial de L. I. R. Roma","Semanal","por"
"O Athleta","periodico litterario e noticioso","Pilar, AL","[1902?]-","[s.n.]","Semanal","por"
"O Atirador","orgam patriotico, literario, noticioso e humoristico","Vacaria, RS","1918","[s.n.]","Semanal","por"
"O Atlantico","hebdomadario literario e noticioso","Matozinhos [Portugal]","1917","","Indeterminada","por"
"O Atomo","jornal independente e noticioso","Boa Vista do Rio Branco, RR","1951 a 1956","","Desconhecida","por"
"O Atual","jornal regional","Guaranésia, MG","1997","","","por"
